timestamp,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,linear_x,linear_y,linear_z,rot_x,rot_y,rot_z,light,pressure,proximity
1736674579098,-1.04505,2.7930002,9.757951,,,,,,,,,,,,,,,,,,
1736674579108,-1.1410501,2.84295,10.024051,,,,,,,,,,,,,,,,,,
1736674579118,-1.4130001,2.8500001,10.17,,,,,,,,,,,,,,,,,,
1736674579128,-1.3750501,2.9340003,10.038,,,,,,,,,,,,,,,,,,
1736674579139,-1.30095,3.0229502,9.865951,,,,,,,,,,,,,,,,,,
1736674579149,-1.3080001,3.042,9.706051,,,,,,,,,,,,,,,,,,
1736674579158,-1.31805,3.015,9.59805,,,,,,,,,,,,,,,,,,
1736674579168,-1.3270501,2.982,9.531,,,,,,,,,,,,,,,,,,
1736674579178,-1.2790501,2.94105,9.579,,,,,,,,,,,,,,,,,,
1736674579188,-1.2079501,2.9220002,9.72,,,,,,,,,,,,,,,,,,
1736674579198,-1.1550001,2.8549502,9.835051,,,,,,,,,,,,,,,,,,
1736674579208,-1.1550001,2.769,9.89505,,,,,,,,,,,,,,,,,,
1736674579219,-1.2199501,2.7450001,9.90705,,,,,,,,,,,,,,,,,,
1736674579229,-1.23105,2.74005,9.991051,,,,,,,,,,,,,,,,,,
1736674579239,-1.2750001,2.74005,10.086,,,,,,,,,,,,,,,,,,
1736674579248,-1.31295,2.80005,10.156051,,,,,,,,,,,,,,,,,,
1736674579258,-1.33905,2.84805,10.1650505,,,,,,,,,,,,,,,,,,
1736674579268,-1.3080001,2.8600502,10.182,,,,,,,,,,,,,,,,,,
1736674579278,-1.27005,2.83395,10.158001,,,,,,,,,,,,,,,,,,
1736674579288,-1.23405,2.80695,10.12695,,,,,,,,,,,,,,,,,,
1736674579298,-1.2240001,2.8240502,10.09095,,,,,,,,,,,,,,,,,,
1736674579309,-1.19295,2.86695,9.97605,,,,,,,,,,,,,,,,,,
1736674579319,-1.107,2.8890002,9.913951,,,,,,,,,,,,,,,,,,
1736674579330,-1.07295,2.91,9.89505,,,,,,,,,,,,,,,,,,
1736674579339,-1.00905,2.9200501,9.832951,,,,,,,,,,,,,,,,,,
1736674579349,-0.94395006,2.8890002,9.74205,,,,,,,,,,,,,,,,,,
1736674579360,-0.95595,2.8890002,9.78705,,,,,,,,,,,,,,,,,,
1736674579369,-1.04205,2.86905,9.897,,,,,,,,,,,,,,,,,,
1736674579380,-1.1410501,2.8240502,10.05795,,,,,,,,,,,,,,,,,,
1736674579389,-1.164,2.805,10.210951,,,,,,,,,,,,,,,,,,
1736674579399,-1.1190001,2.7949502,10.28295,,,,,,,,,,,,,,,,,,
1736674579409,-1.0570501,2.769,10.25895,,,,,,,,,,,,,,,,,,
1736674579419,-0.95400006,2.7829502,10.180051,,,,,,,,,,,,,,,,,,
1736674579430,-0.89205,2.8260002,10.041,,,,,,,,,,,,,,,,,,
1736674579439,-0.88695,2.8549502,9.901951,,,,,,,,,,,,,,,,,,
1736674579449,-0.83595,2.87895,9.700951,,,,,,,,,,,,,,,,,,
1736674579459,-0.786,2.9269502,9.65505,,,,,,,,,,,,,,,,,,
1736674579470,-0.84795004,2.9320502,9.672001,,,,,,,,,,,,,,,,,,
1736674579480,-0.90795004,2.9269502,9.699,,,,,,,,,,,,,,,,,,
1736674579489,-0.90105003,2.9509501,9.84,,,,,,,,,,,,,,,,,,
1736674579500,-0.86805004,2.9650502,9.969001,,,,,,,,,,,,,,,,,,
1736674579509,-0.86805004,2.9599502,10.003051,,,,,,,,,,,,,,,,,,
1736674579520,-0.89205,2.9200501,9.98295,,,,,,,,,,,,,,,,,,
1736674579529,-0.915,2.8860002,9.900001,,,,,,,,,,,,,,,,,,
1736674579540,-0.86505,2.90805,9.835051,,,,,,,,,,,,,,,,,,
1736674579550,-0.786,2.9200501,9.79695,,,,,,,,,,,,,,,,,,
1736674579560,-0.74805003,2.90505,9.801001,,,,,,,,,,,,,,,,,,
1736674579570,-0.74505,2.84805,9.835051,,,,,,,,,,,,,,,,,,
1736674579580,-0.75705004,2.84295,9.897,,,,,,,,,,,,,,,,,,
1736674579591,-0.77205,2.83395,9.95505,,,,,,,,,,,,,,,,,,
1736674579601,-0.79800004,2.83095,10.08195,,,,,,,,,,,,,,,,,,
1736674579610,-0.78105,2.841,10.192051,,,,,,,,,,,,,,,,,,
1736674579620,-0.72900003,2.84505,10.22805,,,,,,,,,,,,,,,,,,
1736674579630,-0.72405005,2.8600502,10.213051,,,,,,,,,,,,,,,,,,
1736674579641,-0.68805003,2.8500001,10.174951,,,,,,,,,,,,,,,,,,
1736674579650,-0.666,2.8140001,10.054951,,,,,,,,,,,,,,,,,,
1736674579660,-0.68295,2.84805,9.981001,,,,,,,,,,,,,,,,,,
1736674579670,-0.67605,2.8240502,9.871051,,,,,,,,,,,,,,,,,,
1736674579680,-0.66195005,2.7949502,9.780001,,,,,,,,,,,,,,,,,,
1736674579691,-0.66195005,2.8219502,9.74205,,,,,,,,,,,,,,,,,,
1736674579701,-0.68295,2.8290002,9.736951,,,,,,,,,,,,,,,,,,
1736674579710,-0.67605,2.84805,9.801001,,,,,,,,,,,,,,,,,,
1736674579720,-0.65895003,2.86905,9.889951,,,,,,,,,,,,,,,,,,
1736674579731,-0.66195005,2.8530002,9.95205,,,,,,,,,,,,,,,,,,
1736674579740,-0.68805003,2.8600502,9.979051,,,,,,,,,,,,,,,,,,
1736674579750,-0.69795,2.8549502,9.97395,,,,,,,,,,,,,,,,,,
1736674579760,-0.702,2.83095,10.015051,,,,,,,,,,,,,,,,,,
1736674579771,-0.65400004,2.838,9.93795,,,,,,,,,,,,,,,,,,
1736674579781,-0.64500004,2.8650002,9.98295,,,,,,,,,,,,,,,,,,
1736674579791,-0.72900003,2.8600502,10.024051,,,,,,,,,,,,,,,,,,
1736674579802,-0.762,2.80995,9.98295,,,,,,,,,,,,,,,,,,
1736674579811,-0.717,2.8260002,9.969001,,,,,,,,,,,,,,,,,,
1736674579821,-0.70695,2.90505,10.005,,,,,,,,,,,,,,,,,,
1736674579831,-0.726,2.9170501,9.979051,,,,,,,,,,,,,,,,,,
1736674579841,-0.753,2.91,9.9210005,,,,,,,,,,,,,,,,,,
1736674579851,-0.777,2.88105,9.80595,,,,,,,,,,,,,,,,,,
1736674579862,-0.71205,2.8570502,9.769951,,,,,,,,,,,,,,,,,,
1736674579871,-0.633,2.8620002,9.715051,,,,,,,,,,,,,,,,,,
1736674579881,-0.60405004,2.8620002,9.733951,,,,,,,,,,,,,,,,,,
1736674579891,-0.597,2.8620002,9.82995,,,,,,,,,,,,,,,,,,
1736674579901,-0.633,2.8290002,9.92595,,,,,,,,,,,,,,,,,,
1736674579912,-0.67095006,2.838,10.02705,,,,,,,,,,,,,,,,,,
1736674579921,-0.65205,2.8170002,10.09395,,,,,,,,,,,,,,,,,,
1736674579931,-0.573,2.7640502,10.02705,,,,,,,,,,,,,,,,,,
1736674579942,-0.60405004,2.76195,10.146001,,,,,,,,,,,,,,,,,,
1736674579951,-0.702,2.74305,10.25895,,,,,,,,,,,,,,,,,,
1736674579961,-0.72900003,2.7469501,10.29705,,,,,,,,,,,,,,,,,,
1736674579972,-0.70005006,2.8189502,10.2949505,,,,,,,,,,,,,,,,,,
1736674579982,-0.67095006,2.8219502,10.174951,,,,,,,,,,,,,,,,,,
1736674579991,-0.62595004,2.84505,10.009951,,,,,,,,,,,,,,,,,,
1736674580002,-0.597,2.901,9.95895,,,,,,,,,,,,,,,,,,
1736674580012,-0.57795,2.9170501,9.94005,,,,,,,,,,,,,,,,,,
1736674580023,-0.58995,2.88105,9.8880005,,,,,,,,,,,,,,,,,,
1736674580032,-0.54195005,2.84805,9.78195,,,,,,,,,,,,,,,,,,
1736674580042,-0.48195,2.8620002,9.904051,,,,,,,,,,,,,,,,,,
1736674580053,-0.55395,2.8219502,10.089001,,,,,,,,,,,,,,,,,,
1736674580062,-0.56100005,2.7469501,10.11795,,,,,,,,,,,,,,,,,,
1736674580072,-0.49605003,2.74005,10.10805,,,,,,,,,,,,,,,,,,
1736674580083,-0.42900002,2.7280502,10.08195,,,,,,,,,,,,,,,,,,
1736674580092,-0.39105,2.7139502,10.003051,,,,,,,,,,,,,,,,,,
1736674580102,-0.36705002,2.74305,9.95895,,,,,,,,,,,,,,,,,,
1736674580112,-0.393,2.7139502,9.871051,,,,,,,,,,,,,,,,,,
1736674580122,-0.42495003,2.7229502,9.79395,,,,,,,,,,,,,,,,,,
1736674580133,-0.384,2.7450001,9.724951,,,,,,,,,,,,,,,,,,
1736674580142,-0.32205,2.7280502,9.72,,,,,,,,,,,,,,,,,,
1736674580152,-0.324,2.6899502,9.739051,,,,,,,,,,,,,,,,,,
