timestamp,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,linear_x,linear_y,linear_z,rot_x,rot_y,rot_z,light,pressure,proximity
1736666363045,-0.77895004,1.6510501,10.59195,,,,,,,,,,,,,,,,,,
1736666363055,-0.62805,1.7580001,10.345051,,,,,,,,,,,,,,,,,,
1736666363065,-0.67095006,1.8570001,10.13895,,,,,,,,,,,,,,,,,,
1736666363075,-0.71895003,1.9519501,9.913951,,,,,,,,,,,,,,,,,,
1736666363085,-0.74805003,2.0389502,9.77805,,,,,,,,,,,,,,,,,,
1736666363095,-0.70005006,2.091,9.703051,,,,,,,,,,,,,,,,,,
1736666363105,-0.60195005,2.0700002,9.67695,,,,,,,,,,,,,,,,,,
1736666363115,-0.54,2.01495,9.72,,,,,,,,,,,,,,,,,,
1736666363125,-0.50100005,1.9570501,9.835051,,,,,,,,,,,,,,,,,,
1736666363135,-0.50100005,1.84905,10.066951,,,,,,,,,,,,,,,,,,
1736666363146,-0.58005005,1.7230501,10.25895,,,,,,,,,,,,,,,,,,
1736666363156,-0.64995,1.608,10.387951,,,,,,,,,,,,,,,,,,
1736666363166,-0.64695,1.5810001,10.495951,,,,,,,,,,,,,,,,,,
1736666363176,-0.64995,1.5960001,10.489051,,,,,,,,,,,,,,,,,,
1736666363185,-0.657,1.6200001,10.43805,,,,,,,,,,,,,,,,,,
1736666363195,-0.657,1.7010001,10.41705,,,,,,,,,,,,,,,,,,
1736666363206,-0.58995,1.7580001,10.422001,,,,,,,,,,,,,,,,,,
1736666363216,-0.56295,1.7560501,10.434001,,,,,,,,,,,,,,,,,,
1736666363225,-0.53205,1.7560501,10.41705,,,,,,,,,,,,,,,,,,
1736666363236,-0.51600003,1.74405,10.330951,,,,,,,,,,,,,,,,,,
1736666363246,-0.54705,1.6870501,10.231951,,,,,,,,,,,,,,,,,,
1736666363256,-0.56295,1.6720501,10.189051,,,,,,,,,,,,,,,,,,
1736666363266,-0.61095005,1.6530001,10.201051,,,,,,,,,,,,,,,,,,
1736666363276,-0.59895,1.65795,10.23705,,,,,,,,,,,,,,,,,,
1736666363286,-0.59895,1.69395,10.2640505,,,,,,,,,,,,,,,,,,
1736666363296,-0.60405004,1.7179501,10.3279505,,,,,,,,,,,,,,,,,,
1736666363306,-0.642,1.69095,10.371,,,,,,,,,,,,,,,,,,
1736666363316,-0.693,1.6789501,10.345051,,,,,,,,,,,,,,,,,,
1736666363326,-0.67800003,1.6789501,10.27995,,,,,,,,,,,,,,,,,,
1736666363336,-0.64500004,1.677,10.276051,,,,,,,,,,,,,,,,,,
1736666363346,-0.67095006,1.6819501,10.255951,,,,,,,,,,,,,,,,,,
1736666363356,-0.72900003,1.6390501,10.24005,,,,,,,,,,,,,,,,,,
1736666363367,-0.67395,1.66305,10.26105,,,,,,,,,,,,,,,,,,
1736666363377,-0.55905,1.74705,10.321051,,,,,,,,,,,,,,,,,,
1736666363387,-0.54405004,1.6990501,10.299001,,,,,,,,,,,,,,,,,,
1736666363397,-0.60195005,1.644,10.254001,,,,,,,,,,,,,,,,,,
1736666363406,-0.60195005,1.6030501,10.23705,,,,,,,,,,,,,,,,,,
1736666363416,-0.549,1.6150501,10.192051,,,,,,,,,,,,,,,,,,
1736666363427,-0.58005005,1.6150501,10.158001,,,,,,,,,,,,,,,,,,
1736666363437,-0.62295,1.62405,10.180051,,,,,,,,,,,,,,,,,,
1736666363446,-0.64995,1.65795,10.22805,,,,,,,,,,,,,,,,,,
1736666363456,-0.68100005,1.641,10.28295,,,,,,,,,,,,,,,,,,
1736666363467,-0.64695,1.6530001,10.2640505,,,,,,,,,,,,,,,,,,
1736666363477,-0.60195005,1.7299501,10.24695,,,,,,,,,,,,,,,,,,
1736666363487,-0.59205,1.7629501,10.194,,,,,,,,,,,,,,,,,,
1736666363497,-0.60705,1.7580001,10.12005,,,,,,,,,,,,,,,,,,
1736666363507,-0.62295,1.7509501,10.12905,,,,,,,,,,,,,,,,,,
1736666363517,-0.61395,1.74195,10.189051,,,,,,,,,,,,,,,,,,
1736666363527,-0.59895,1.6840501,10.21605,,,,,,,,,,,,,,,,,,
1736666363537,-0.597,1.6200001,10.25205,,,,,,,,,,,,,,,,,,
1736666363547,-0.597,1.5790501,10.255951,,,,,,,,,,,,,,,,,,
1736666363557,-0.60705,1.5670501,10.28505,,,,,,,,,,,,,,,,,,
1736666363567,-0.61605,1.57395,10.306951,,,,,,,,,,,,,,,,,,
1736666363577,-0.58500004,1.5619501,10.290001,,,,,,,,,,,,,,,,,,
1736666363588,-0.57495004,1.5310501,10.27095,,,,,,,,,,,,,,,,,,
1736666363597,-0.56805,1.53795,10.28505,,,,,,,,,,,,,,,,,,
1736666363607,-0.549,1.5450001,10.288051,,,,,,,,,,,,,,,,,,
1736666363617,-0.57105005,1.5090001,10.335,,,,,,,,,,,,,,,,,,
1736666363628,-0.52995,1.4809501,10.422001,,,,,,,,,,,,,,,,,,
1736666363638,-0.41295,1.4860501,10.489051,,,,,,,,,,,,,,,,,,
1736666363648,-0.34605002,1.4449501,10.375951,,,,,,,,,,,,,,,,,,
1736666363658,-0.34305,1.4500501,10.21605,,,,,,,,,,,,,,,,,,
1736666363667,-0.33405003,1.46895,10.15305,,,,,,,,,,,,,,,,,,
1736666363677,-0.40800002,1.5330001,10.198951,,,,,,,,,,,,,,,,,,
1736666363687,-0.45105,1.5600001,10.21605,,,,,,,,,,,,,,,,,,
1736666363697,-0.46995002,1.5810001,10.219951,,,,,,,,,,,,,,,,,,
1736666363709,-0.41700003,1.5790501,10.299001,,,,,,,,,,,,,,,,,,
1736666363719,-0.393,1.5120001,10.335,,,,,,,,,,,,,,,,,,
1736666363728,-0.393,1.38705,10.255951,,,,,,,,,,,,,,,,,,
1736666363738,-0.40500003,1.3249501,10.255951,,,,,,,,,,,,,,,,,,
1736666363748,-0.42495003,1.3420501,10.26795,,,,,,,,,,,,,,,,,,
1736666363758,-0.453,1.3950001,10.311001,,,,,,,,,,,,,,,,,,
1736666363768,-0.43905002,1.46895,10.323001,,,,,,,,,,,,,,,,,,
1736666363778,-0.42705002,1.4980501,10.333051,,,,,,,,,,,,,,,,,,
1736666363788,-0.43695003,1.4929501,10.321051,,,,,,,,,,,,,,,,,,
1736666363798,-0.42000002,1.44,10.30395,,,,,,,,,,,,,,,,,,
1736666363808,-0.41295,1.3800001,10.29705,,,,,,,,,,,,,,,,,,
1736666363818,-0.384,1.3990501,10.323001,,,,,,,,,,,,,,,,,,
1736666363828,-0.36195,1.41795,10.31595,,,,,,,,,,,,,,,,,,
1736666363838,-0.41505003,1.4280001,10.2949505,,,,,,,,,,,,,,,,,,
1736666363849,-0.44400004,1.452,10.28295,,,,,,,,,,,,,,,,,,
1736666363859,-0.46800002,1.5000001,10.302,,,,,,,,,,,,,,,,,,
1736666363869,-0.45105,1.5000001,10.28505,,,,,,,,,,,,,,,,,,
1736666363879,-0.46095002,1.4830501,10.28295,,,,,,,,,,,,,,,,,,
1736666363888,-0.47295,1.47405,10.22805,,,,,,,,,,,,,,,,,,
1736666363898,-0.47505003,1.4620501,10.225051,,,,,,,,,,,,,,,,,,
1736666363909,-0.47700003,1.45395,10.299001,,,,,,,,,,,,,,,,,,
1736666363918,-0.504,1.43505,10.371,,,,,,,,,,,,,,,,,,
1736666363928,-0.49905002,1.43805,10.386001,,,,,,,,,,,,,,,,,,
1736666363939,-0.44595003,1.43505,10.362,,,,,,,,,,,,,,,,,,
1736666363949,-0.46800002,1.4929501,10.306951,,,,,,,,,,,,,,,,,,
1736666363959,-0.504,1.50195,10.26105,,,,,,,,,,,,,,,,,,
1736666363969,-0.49605003,1.524,10.23495,,,,,,,,,,,,,,,,,,
1736666363979,-0.50595003,1.5090001,10.266001,,,,,,,,,,,,,,,,,,
1736666363989,-0.51105005,1.46895,10.335,,,,,,,,,,,,,,,,,,
1736666363999,-0.48000002,1.404,10.39305,,,,,,,,,,,,,,,,,,
1736666364009,-0.44400004,1.32,10.422001,,,,,,,,,,,,,,,,,,
1736666364020,-0.39105,1.26795,10.39995,,,,,,,,,,,,,,,,,,
1736666364030,-0.36,1.27995,10.357051,,,,,,,,,,,,,,,,,,
1736666364040,-0.35295,1.34895,10.31595,,,,,,,,,,,,,,,,,,
1736666364049,-0.40995002,1.3920001,10.266001,,,,,,,,,,,,,,,,,,
1736666364059,-0.47700003,1.4809501,10.278001,,,,,,,,,,,,,,,,,,
1736666364069,-0.58005005,1.5330001,10.255951,,,,,,,,,,,,,,,,,,
1736666364079,-0.57495004,1.536,10.243951,,,,,,,,,,,,,,,,,,
1736666364090,-0.50595003,1.50495,10.198951,,,,,,,,,,,,,,,,,,
1736666364100,-0.46305,1.4980501,10.1629505,,,,,,,,,,,,,,,,,,
1736666364109,-0.453,1.50705,10.14105,,,,,,,,,,,,,,,,,,
1736666364119,-0.44595003,1.50495,10.156051,,,,,,,,,,,,,,,,,,
1736666364129,-0.45600003,1.5139501,10.24905,,,,,,,,,,,,,,,,,,
1736666364139,-0.49605003,1.4640001,10.378051,,,,,,,,,,,,,,,,,,
1736666364149,-0.45105,1.40205,10.443001,,,,,,,,,,,,,,,,,,
1736666364159,-0.38595003,1.3110001,10.42905,,,,,,,,,,,,,,,,,,
1736666364171,-0.38895002,1.27995,10.407001,,,,,,,,,,,,,,,,,,
1736666364181,-0.42900002,1.2870001,10.44795,,,,,,,,,,,,,,,,,,
1736666364190,-0.492,1.3420501,10.434001,,,,,,,,,,,,,,,,,,
1736666364200,-0.537,1.3969501,10.42605,,,,,,,,,,,,,,,,,,
1736666364210,-0.51795,1.44,10.371,,,,,,,,,,,,,,,,,,
1736666364220,-0.453,1.46595,10.2949505,,,,,,,,,,,,,,,,,,
1736666364230,-0.41700003,1.4640001,10.243951,,,,,,,,,,,,,,,,,,
1736666364240,-0.44895002,1.4569501,10.218,,,,,,,,,,,,,,,,,,
1736666364251,-0.47295,1.50195,10.1650505,,,,,,,,,,,,,,,,,,
1736666364261,-0.49905002,1.5499501,10.14105,,,,,,,,,,,,,,,,,,
1736666364270,-0.45795003,1.5600001,10.20405,,,,,,,,,,,,,,,,,,
1736666364280,-0.384,1.524,10.218,,,,,,,,,,,,,,,,,,
1736666364291,-0.34605002,1.47105,10.186951,,,,,,,,,,,,,,,,,,
1736666364301,-0.29505002,1.404,10.15095,,,,,,,,,,,,,,,,,,
1736666364310,-0.28800002,1.3660501,10.1629505,,,,,,,,,,,,,,,,,,
1736666364320,-0.34095,1.3249501,10.231951,,,,,,,,,,,,,,,,,,
1736666364331,-0.37395,1.2940501,10.318951,,,,,,,,,,,,,,,,,,
1736666364341,-0.36,1.27995,10.38105,,,,,,,,,,,,,,,,,,
1736666364351,-0.372,1.28205,10.43595,,,,,,,,,,,,,,,,,,
1736666364361,-0.39105,1.27005,10.43595,,,,,,,,,,,,,,,,,,
1736666364370,-0.36705002,1.27995,10.390051,,,,,,,,,,,,,,,,,,
1736666364380,-0.40995002,1.3279501,10.371,,,,,,,,,,,,,,,,,,
1736666364390,-0.432,1.3660501,10.42395,,,,,,,,,,,,,,,,,,
1736666364401,-0.45105,1.383,10.48095,,,,,,,,,,,,,,,,,,
1736666364411,-0.432,1.35405,10.503,,,,,,,,,,,,,,,,,,
1736666364421,-0.41700003,1.31805,10.498051,,,,,,,,,,,,,,,,,,
1736666364431,-0.38595003,1.296,10.43805,,,,,,,,,,,,,,,,,,
1736666364441,-0.393,1.3590001,10.354951,,,,,,,,,,,,,,,,,,
1736666364451,-0.41700003,1.45395,10.243951,,,,,,,,,,,,,,,,,,
1736666364461,-0.42705002,1.524,10.156051,,,,,,,,,,,,,,,,,,
1736666364471,-0.41295,1.5480001,10.110001,,,,,,,,,,,,,,,,,,
1736666364481,-0.42705002,1.53795,10.074,,,,,,,,,,,,,,,,,,
1736666364492,-0.40095,1.46895,10.09095,,,,,,,,,,,,,,,,,,
1736666364502,-0.38895002,1.416,10.177051,,,,,,,,,,,,,,,,,,
1736666364512,-0.40995002,1.38495,10.342951,,,,,,,,,,,,,,,,,,
1736666364522,-0.441,1.3560001,10.422001,,,,,,,,,,,,,,,,,,
1736666364532,-0.46995002,1.3750501,10.383,,,,,,,,,,,,,,,,,,
1736666364541,-0.42195,1.38495,10.290001,,,,,,,,,,,,,,,,,,
1736666364551,-0.39795002,1.3590001,10.210951,,,,,,,,,,,,,,,,,,
1736666364561,-0.43395,1.31805,10.194,,,,,,,,,,,,,,,,,,
1736666364572,-0.48900002,1.2919501,10.27995,,,,,,,,,,,,,,,,,,
1736666364582,-0.50805,1.2529501,10.374001,,,,,,,,,,,,,,,,,,
1736666364591,-0.37395,1.3560001,10.45695,,,,,,,,,,,,,,,,,,
1736666364601,-0.34995002,1.3780501,10.43805,,,,,,,,,,,,,,,,,,
1736666364611,-0.37005,1.3279501,10.26795,,,,,,,,,,,,,,,,,,
1736666364621,-0.42495003,1.3249501,10.149,,,,,,,,,,,,,,,,,,
1736666364631,-0.45600003,1.3060501,10.156051,,,,,,,,,,,,,,,,,,
1736666364642,-0.45795003,1.38495,10.222951,,,,,,,,,,,,,,,,,,
1736666364652,-0.45600003,1.43805,10.242001,,,,,,,,,,,,,,,,,,
1736666364662,-0.48405004,1.4089501,10.12695,,,,,,,,,,,,,,,,,,
1736666364673,-0.47505003,1.3780501,10.030951,,,,,,,,,,,,,,,,,,
1736666364683,-0.43905002,1.368,9.967051,,,,,,,,,,,,,,,,,,
1736666364692,-0.38595003,1.3920001,9.948001,,,,,,,,,,,,,,,,,,
1736666364702,-0.39105,1.3990501,9.96195,,,,,,,,,,,,,,,,,,
1736666364712,-0.432,1.3729501,9.969001,,,,,,,,,,,,,,,,,,
1736666364722,-0.43695003,1.3609501,10.017,,,,,,,,,,,,,,,,,,
1736666364732,-0.46800002,1.3660501,10.06005,,,,,,,,,,,,,,,,,,
1736666364742,-0.47505003,1.3729501,10.086,,,,,,,,,,,,,,,,,,
1736666364752,-0.42195,1.3630501,10.122001,,,,,,,,,,,,,,,,,,
1736666364763,-0.39600003,1.335,10.137,,,,,,,,,,,,,,,,,,
1736666364773,-0.38205,1.335,10.15305,,,,,,,,,,,,,,,,,,
1736666364783,-0.37905002,1.3369501,10.10295,,,,,,,,,,,,,,,,,,
1736666364793,-0.39105,1.35105,10.042951,,,,,,,,,,,,,,,,,,
1736666364803,-0.39105,1.3560001,10.030951,,,,,,,,,,,,,,,,,,
1736666364812,-0.39795002,1.335,10.110001,,,,,,,,,,,,,,,,,,
1736666364822,-0.40995002,1.32,10.149,,,,,,,,,,,,,,,,,,
1736666364833,-0.40305,1.299,10.10805,,,,,,,,,,,,,,,,,,
1736666364843,-0.33405003,1.32,10.053,,,,,,,,,,,,,,,,,,
1736666364852,-0.30705002,1.335,10.045951,,,,,,,,,,,,,,,,,,
1736666364862,-0.33600003,1.34895,10.042951,,,,,,,,,,,,,,,,,,
1736666364873,-0.38205,1.38705,10.029,,,,,,,,,,,,,,,,,,
1736666364883,-0.39600003,1.3920001,10.05795,,,,,,,,,,,,,,,,,,
1736666364893,-0.37905002,1.3660501,10.065001,,,,,,,,,,,,,,,,,,
1736666364903,-0.36495003,1.335,10.078951,,,,,,,,,,,,,,,,,,
1736666364913,-0.34605002,1.3249501,10.110001,,,,,,,,,,,,,,,,,,
1736666364923,-0.35295,1.368,10.1320505,,,,,,,,,,,,,,,,,,
1736666364933,-0.37695003,1.368,10.054951,,,,,,,,,,,,,,,,,,
1736666364943,-0.37005,1.368,10.045951,,,,,,,,,,,,,,,,,,
1736666364953,-0.36195,1.3609501,10.06995,,,,,,,,,,,,,,,,,,
1736666364963,-0.36195,1.35105,10.074,,,,,,,,,,,,,,,,,,
1736666364973,-0.34800002,1.31805,10.10595,,,,,,,,,,,,,,,,,,
1736666364983,-0.34305,1.3110001,10.08405,,,,,,,,,,,,,,,,,,
1736666364993,-0.372,1.2940501,10.08405,,,,,,,,,,,,,,,,,,
1736666365003,-0.37905002,1.3230001,10.1629505,,,,,,,,,,,,,,,,,,
1736666365013,-0.291,1.4470501,10.198951,,,,,,,,,,,,,,,,,,
1736666365023,-0.33405003,1.43805,10.06005,,,,,,,,,,,,,,,,,,
1736666365033,-0.42195,1.404,9.913951,,,,,,,,,,,,,,,,,,
1736666365043,-0.38595003,1.44,9.9210005,,,,,,,,,,,,,,,,,,
1736666365054,-0.34800002,1.4089501,9.967051,,,,,,,,,,,,,,,,,,
1736666365064,-0.33600003,1.3990501,9.991051,,,,,,,,,,,,,,,,,,
1736666365074,-0.25905,1.4449501,10.054951,,,,,,,,,,,,,,,,,,
1736666365084,-0.25905,1.43295,9.99495,,,,,,,,,,,,,,,,,,
1736666365093,-0.36,1.3990501,9.885,,,,,,,,,,,,,,,,,,
1736666365104,-0.39105,1.4089501,9.80895,,,,,,,,,,,,,,,,,,
1736666365114,-0.384,1.4140501,9.744,,,,,,,,,,,,,,,,,,
1736666365124,-0.36195,1.4500501,9.745951,,,,,,,,,,,,,,,,,,
1736666365135,-0.36195,1.45395,9.75405,,,,,,,,,,,,,,,,,,
1736666365145,-0.32595003,1.45905,9.74895,,,,,,,,,,,,,,,,,,
1736666365154,-0.31395,1.4500501,9.71805,,,,,,,,,,,,,,,,,,
1736666365164,-0.31005,1.41795,9.721951,,,,,,,,,,,,,,,,,,
1736666365174,-0.24495001,1.4899501,9.8230505,,,,,,,,,,,,,,,,,,
1736666365184,-0.25005,1.4929501,9.861,,,,,,,,,,,,,,,,,,
1736666365194,-0.33405003,1.47405,9.844951,,,,,,,,,,,,,,,,,,
1736666365204,-0.37905002,1.4620501,9.892051,,,,,,,,,,,,,,,,,,
1736666365214,-0.39600003,1.4449501,9.948001,,,,,,,,,,,,,,,,,,
1736666365224,-0.40800002,1.46895,9.95505,,,,,,,,,,,,,,,,,,
1736666365235,-0.41700003,1.4929501,9.993,,,,,,,,,,,,,,,,,,
1736666365245,-0.372,1.4830501,10.05,,,,,,,,,,,,,,,,,,
1736666365254,-0.31395,1.43295,10.021951,,,,,,,,,,,,,,,,,,
1736666365264,-0.291,1.3950001,9.957001,,,,,,,,,,,,,,,,,,
1736666365275,-0.3,1.3440001,9.916051,,,,,,,,,,,,,,,,,,
1736666365285,-0.35805002,1.33905,9.936001,,,,,,,,,,,,,,,,,,
1736666365295,-0.35805002,1.34895,9.93795,,,,,,,,,,,,,,,,,,
1736666365305,-0.303,1.3630501,9.892051,,,,,,,,,,,,,,,,,,
1736666365315,-0.25005,1.38705,9.8230505,,,,,,,,,,,,,,,,,,
1736666365325,-0.21900001,1.4260501,9.792001,,,,,,,,,,,,,,,,,,
1736666365336,-0.27600002,1.42305,9.721951,,,,,,,,,,,,,,,,,,
1736666365345,-0.34800002,1.4260501,9.675,,,,,,,,,,,,,,,,,,
1736666365356,-0.36495003,1.416,9.684,,,,,,,,,,,,,,,,,,
1736666365366,-0.36195,1.404,9.733951,,,,,,,,,,,,,,,,,,
1736666365375,-0.35295,1.4089501,9.769951,,,,,,,,,,,,,,,,,,
1736666365385,-0.34605002,1.4500501,9.76305,,,,,,,,,,,,,,,,,,
1736666365395,-0.36195,1.4809501,9.745951,,,,,,,,,,,,,,,,,,
1736666365405,-0.38595003,1.43295,9.712951,,,,,,,,,,,,,,,,,,
1736666365415,-0.35805002,1.50495,9.745951,,,,,,,,,,,,,,,,,,
1736666365425,-0.24705002,1.5960001,9.7890005,,,,,,,,,,,,,,,,,,
1736666365436,-0.28095,1.53795,9.715051,,,,,,,,,,,,,,,,,,
1736666365446,-0.36195,1.4470501,9.612,,,,,,,,,,,,,,,,,,
1736666365455,-0.43395,1.3609501,9.61005,,,,,,,,,,,,,,,,,,
1736666365465,-0.46500003,1.371,9.682051,,,,,,,,,,,,,,,,,,
1736666365475,-0.43395,1.38495,9.768001,,,,,,,,,,,,,,,,,,
1736666365485,-0.34995002,1.42095,9.859051,,,,,,,,,,,,,,,,,,
1736666365495,-0.27600002,1.42095,9.97605,,,,,,,,,,,,,,,,,,
1736666365505,-0.25500003,1.4070001,9.97395,,,,,,,,,,,,,,,,,,
1736666365515,-0.23505001,1.39005,9.89505,,,,,,,,,,,,,,,,,,
1736666365525,-0.24300002,1.3750501,9.813001,,,,,,,,,,,,,,,,,,
1736666365536,-0.29295,1.3630501,9.73005,,,,,,,,,,,,,,,,,,
1736666365546,-0.32895002,1.38705,9.721951,,,,,,,,,,,,,,,,,,
1736666365555,-0.31005,1.3729501,9.700951,,,,,,,,,,,,,,,,,,
1736666365565,-0.252,1.371,9.684,,,,,,,,,,,,,,,,,,
1736666365576,-0.22095,1.34895,9.687,,,,,,,,,,,,,,,,,,
1736666365586,-0.23805001,1.35405,9.675,,,,,,,,,,,,,,,,,,
1736666365596,-0.31005,1.371,9.670051,,,,,,,,,,,,,,,,,,
1736666365606,-0.37695003,1.38705,9.64605,,,,,,,,,,,,,,,,,,
1736666365616,-0.38205,1.3969501,9.65295,,,,,,,,,,,,,,,,,,
1736666365626,-0.324,1.41795,9.706051,,,,,,,,,,,,,,,,,,
1736666365636,-0.31905,1.4470501,9.721951,,,,,,,,,,,,,,,,,,
1736666365646,-0.32895002,1.4899501,9.691051,,,,,,,,,,,,,,,,,,
1736666365656,-0.372,1.5090001,9.61005,,,,,,,,,,,,,,,,,,
1736666365666,-0.42000002,1.5169501,9.604951,,,,,,,,,,,,,,,,,,
1736666365676,-0.42000002,1.4809501,9.660001,,,,,,,,,,,,,,,,,,
1736666365686,-0.37905002,1.4260501,9.691051,,,,,,,,,,,,,,,,,,
1736666365697,-0.34305,1.3590001,9.745951,,,,,,,,,,,,,,,,,,
1736666365707,-0.31005,1.3060501,9.744,,,,,,,,,,,,,,,,,,
1736666365716,-0.29505002,1.263,9.660001,,,,,,,,,,,,,,,,,,
1736666365726,-0.28305,1.263,9.604951,,,,,,,,,,,,,,,,,,
1736666365736,-0.30705002,1.27005,9.615001,,,,,,,,,,,,,,,,,,
1736666365746,-0.35505003,1.2940501,9.65295,,,,,,,,,,,,,,,,,,
1736666365756,-0.38595003,1.263,9.627001,,,,,,,,,,,,,,,,,,
1736666365766,-0.33105,1.28205,9.688951,,,,,,,,,,,,,,,,,,
1736666363064,,,,-39.112503,-9.056251,-21.056252,,,,,,,,,,,,,,,
1736666363097,,,,-1.44375,7.74375,-18.6,,,,,,,,,,,,,,,
1736666363117,,,,-1.44375,7.4437504,-18.956251,,,,,,,,,,,,,,,
1736666363137,,,,-0.90000004,7.2562504,-19.44375,,,,,,,,,,,,,,,
1736666363159,,,,-0.54375005,7.2000003,-19.612501,,,,,,,,,,,,,,,
1736666363179,,,,-0.6,6.95625,-19.44375,,,,,,,,,,,,,,,
1736666363198,,,,-0.6,7.5000005,-19.3125,,,,,,,,,,,,,,,
